initial_position,initial_velocity,mass,time,location
6950,8,983,52,-5910.640000000001
103,18,904,69,-22031.510000000002
2869,4,674,48,-8251.64
5901,52,59,72,-15808.440000000002
9706,48,919,58,-4027.2400000000016
4233,6,603,52,-8731.640000000001
70,20,204,40,-6986.0
4463,4,659,78,-25097.440000000002
9936,68,68,81,-16770.510000000002
763,53,392,74,-22202.16
4913,9,668,71,-19199.31
5923,4,714,54,-8178.560000000001
8535,80,888,70,-9924.0
8748,88,920,90,-23103.0
3506,29,400,56,-10267.76
2738,41,599,28,36.559999999999945
8431,48,742,46,249.4400000000005
7870,20,468,92,-31848.239999999998
7920,33,644,96,-34162.56
9903,51,783,3,10011.81
5528,14,350,58,-10177.240000000002
7917,25,163,75,-17826.75
3972,47,897,99,-39497.91
2921,33,819,15,2311.25
890,97,35,16,1185.04
5903,35,528,47,-3298.1900000000005
1333,1,155,4,1258.44
6679,53,330,69,-13040.510000000002
5040,77,101,3,5226.81
9053,14,935,6,8960.24
6834,21,53,43,-1341.5900000000001
1883,24,652,22,34.559999999999945
2356,60,974,90,-32015.0
1372,91,241,14,1683.6399999999999
8027,58,817,22,6926.5599999999995
1834,16,181,38,-4648.04
4076,42,65,13,3792.21
8659,45,679,14,8326.64
5184,64,19,23,4058.61
9068,19,296,89,-28133.11
3034,74,254,65,-12900.75
9521,37,564,48,-15.639999999999418
3996,90,382,6,4359.24
3630,29,412,98,-40683.64
343,39,200,30,-2906.0
187,50,783,55,-11915.75
2715,81,873,61,-10614.11
9851,35,747,92,-28487.239999999998
287,64,288,17,-43.99000000000001
859,24,999,23,-1186.3899999999999
6871,66,466,63,-8458.79
103,98,716,87,-28534.79
9557,23,889,35,4347.25
8294,56,612,3,8417.81
4882,96,168,30,3343.0
9723,41,672,52,-1421.6400000000012
1438,39,685,96,-40068.56
6467,99,881,89,-23614.11
6642,58,484,71,-13991.310000000001
9331,39,341,52,-1917.6400000000012
3715,93,500,47,-2760.1900000000005
239,22,451,27,-2746.3900000000003
4629,50,899,96,-35821.56
9327,58,229,89,-24403.11
6037,94,464,48,-763.6399999999994
2147,92,541,66,-13168.96
4820,10,457,63,-14037.79
4311,5,909,79,-25937.31
1605,33,664,12,1293.96
3029,76,188,54,-7184.560000000001
1948,73,274,45,-4709.75
8174,74,999,78,-15926.440000000002
4224,34,703,4,4281.44
3227,37,130,14,2782.64
2730,24,313,30,-969.0
6191,35,539,15,5611.25
576,50,855,79,-26117.31
5408,2,150,42,-3169.24
6044,98,412,61,-6248.110000000001
2411,98,685,78,-19817.440000000002
6765,71,359,29,4694.69
2361,64,968,13,2363.21
5169,31,89,54,-7474.560000000001
5536,64,892,61,-8830.11
5918,42,951,81,-22894.510000000002
1800,46,965,6,1899.24
5465,18,9,13,4869.21
4008,61,51,36,-159.36000000000058
9418,21,57,45,420.25
8099,74,84,66,-8404.96
8883,25,711,2,8913.36
6934,21,111,93,-33579.590000000004
9332,24,106,16,8459.04
32,62,792,30,-2527.0
9815,48,934,29,7077.69
4166,96,609,75,-16252.75
8050,16,421,84,-25250.96
2545,2,800,45,-7307.75
2577,55,645,37,-2109.79
4203,31,480,85,-28636.75
2962,93,202,6,3343.24
7989,54,531,7,8126.41
2994,30,656,82,-27560.840000000004
2404,65,916,73,-19016.39
2447,82,737,52,-6565.640000000001
4987,35,394,43,-2586.59
6984,8,421,21,4986.6900000000005
2139,35,951,38,-3621.04
5926,34,781,41,-933.710000000001
8488,92,101,38,4893.96
8875,98,896,15,9240.25
8254,13,794,77,-19856.39
7518,90,655,90,-24153.0
7744,46,995,3,7837.81
6766,58,50,56,-5383.76
3077,94,950,25,2358.25
3006,49,690,73,-19582.39
7320,22,734,61,-9608.11
4683,53,586,93,-32854.590000000004
5445,19,176,17,4349.01
6409,6,56,91,-33704.71
9470,24,727,33,4915.01
839,12,867,28,-2674.44
7996,63,94,83,-20599.989999999998
9674,78,684,95,-27228.75
9570,21,627,79,-19414.31
7991,97,579,44,2753.24
5578,13,765,70,-17571.0
7122,55,963,97,-33741.19
8275,6,794,87,-28366.79
1001,16,842,51,-10953.91
1851,74,994,60,-11385.0
1641,20,972,30,-2178.0
3715,64,525,71,-16492.31
6393,19,819,82,-25063.840000000004
39,87,193,79,-23731.31
7439,60,386,78,-17753.440000000002
3869,45,12,84,-26995.96
9471,6,161,99,-38057.91
3812,77,412,47,-3415.1900000000005
8032,52,585,53,-3004.1900000000005
405,50,782,14,142.64
4862,87,810,68,-11925.84
3008,84,527,34,188.03999999999996
7417,76,576,58,-4692.240000000002
3999,74,367,72,-16126.440000000002
5780,22,505,20,4256.0
9640,63,771,41,3969.289999999999
4457,96,455,84,-22123.96
1470,52,431,55,-10522.75
8231,61,867,92,-27715.239999999998
3222,83,485,77,-19498.39
2084,58,689,75,-21184.75
7483,23,551,39,911.8899999999994
1346,23,763,24,-930.1599999999999
6063,14,328,65,-13771.75
7675,72,72,46,597.4400000000005
5850,10,998,49,-5448.91
9079,62,652,61,-5409.110000000001
7243,95,970,39,3479.8899999999994
5953,96,800,20,5909.0
4016,9,727,3,3998.81
5023,41,782,40,-1193.0
4795,78,179,24,3838.84
1515,67,303,52,-8277.640000000001
3840,82,844,74,-16979.16
3167,13,393,22,1076.56
9479,9,773,33,4429.01
6789,77,60,16,6764.04
4543,50,587,70,-16016.0
9793,73,677,90,-23408.0
6017,90,236,79,-17516.31
7618,6,525,59,-9119.71
3907,70,264,88,-27956.04
5303,50,713,80,-22121.0
3864,79,577,74,-17177.16
8993,67,984,37,4750.21
4986,40,710,25,2917.25
3516,40,652,82,-26218.840000000004
1372,94,572,9,1820.29
5111,11,658,81,-26212.510000000002
9983,73,646,50,1358.0
1294,16,265,99,-45244.91
6351,57,43,98,-35218.64
4427,8,349,92,-36395.24
3604,70,390,46,-3565.5599999999995
9206,35,694,66,-9871.96
8080,70,255,63,-6997.790000000001
8444,64,585,43,2117.41
1898,93,117,89,-28717.11
3791,38,327,35,-893.75
5861,19,980,77,-21787.39
5665,62,93,52,-4387.640000000001
2927,64,233,54,-7934.560000000001
4992,7,715,97,-40527.19
3133,42,395,69,-17345.510000000002
1298,73,642,62,-13050.04
8635,67,273,73,-12639.39
5790,17,390,95,-36907.75
8808,14,290,26,5852.84
6220,45,485,85,-25429.75
6760,82,250,96,-30618.559999999998
9051,68,425,31,6440.49
4448,88,331,91,-28203.71
904,47,379,63,-15622.79
3229,73,786,2,3355.36
6465,33,86,65,-12134.75
2526,98,117,82,-22452.840000000004
4246,42,480,12,4042.96
3831,67,118,47,-3866.1900000000005
9631,92,376,36,6579.639999999999
214,1,466,30,-4175.0
6472,66,808,25,5053.25
8231,87,360,2,8385.36
7344,43,717,26,5142.84
9751,50,958,49,412.09000000000015
9739,13,751,70,-13410.0
8367,35,798,15,7787.25
679,18,271,19,-751.51
9074,40,986,57,-4598.59
9119,36,904,49,-905.9099999999999
1460,41,503,7,1506.41
5277,10,845,2,5277.36
478,80,47,72,-19215.440000000002
1521,73,103,42,-4074.24
4093,7,408,78,-25233.440000000002
6674,66,725,8,6887.76
7390,82,652,97,-30854.190000000002
5074,74,75,50,-3501.0
8872,94,640,43,3835.41
4238,83,301,75,-17155.75
1060,9,589,40,-6436.0
6073,96,459,97,-30813.190000000002
802,93,853,58,-10321.240000000002
8223,64,969,3,8370.81
6791,43,300,54,-5204.560000000001
3832,19,698,15,3012.25
2580,26,941,86,-31498.36
1399,47,477,51,-8974.91
5782,21,946,1,5798.09
3245,41,284,47,-5674.1900000000005
4096,11,620,24,1531.8400000000001
1838,37,819,49,-8137.91
126,82,947,92,-33888.24
5602,82,851,74,-15217.16
3138,83,79,20,2834.0
9382,50,354,37,4510.21
5704,79,700,67,-11043.990000000002
1841,43,940,6,1922.24
7083,30,580,23,5175.610000000001
1417,80,679,33,-1289.9899999999998
583,60,82,29,-1806.3100000000004
2399,95,819,76,-18741.16
8318,10,712,1,8323.09
6573,77,932,87,-23891.79
6055,92,437,56,-4190.76
8123,19,66,69,-13942.510000000002
173,63,667,79,-25493.31
7639,35,693,39,1535.8899999999994
4965,91,298,25,4171.25
9273,45,954,48,120.36000000000058
2574,84,741,40,-1922.0
4877,36,425,89,-30811.11
2181,89,265,44,-3408.76
5267,40,597,13,4957.21
9415,35,335,57,-4542.59
8668,54,693,22,7479.5599999999995
6066,20,262,20,4502.0
9043,84,576,63,-5152.790000000001
9287,89,289,97,-28278.190000000002
4026,61,681,28,1884.56
1584,90,900,98,-36751.64
5556,85,788,87,-24212.79
197,30,869,80,-28827.0
899,70,473,1,964.09
4010,35,599,11,3800.89
4254,73,982,75,-17889.75
2001,21,264,8,1854.76
3898,55,578,12,3850.96
9978,64,541,82,-17788.840000000004
2217,91,953,69,-14880.510000000002
3087,37,277,3,3153.81
8968,67,925,13,9009.21
7546,23,150,89,-29299.11
6803,96,213,10,7272.0
1780,18,346,59,-14249.71
1220,78,517,69,-16774.510000000002
2642,55,53,55,-9185.75
9319,84,500,68,-7672.84
3642,95,782,28,2452.56
4612,26,346,87,-30289.79
5039,36,755,53,-6845.1900000000005
9939,7,529,46,-128.5599999999995
5733,1,25,11,5149.89
9695,32,782,97,-33399.19
2194,33,700,19,1048.49
6451,47,746,76,-18337.16
1803,89,111,58,-9552.240000000002
5559,38,637,24,3642.84
9389,57,460,25,7745.25
5558,69,868,23,4547.610000000001
6219,57,579,36,1907.6399999999994
3956,53,384,51,-6111.91
7677,80,679,9,7999.29
1786,36,23,76,-23838.16
1537,80,934,67,-15143.990000000002
8827,48,297,79,-18024.31
3515,59,757,54,-7616.560000000001
5334,39,878,15,4814.25
493,34,771,73,-23190.39
7088,27,893,50,-3837.0
9671,43,637,1,9709.09
6135,82,320,61,-7133.110000000001
3808,99,712,38,479.96000000000004
1719,87,984,6,2064.24
6285,2,371,38,-729.04
33,9,19,85,-34676.75
6756,57,4,76,-17272.16
1985,74,912,27,403.6099999999997
9628,17,377,68,-11919.84
5093,37,530,7,5111.41
8284,78,505,26,6992.84
3433,39,142,7,3465.41
8619,10,864,2,8619.36
3363,10,813,1,3368.09
5007,37,479,56,-8318.76
1901,96,730,98,-35846.64
5226,10,812,12,4638.96
1386,73,502,6,1647.24
7332,4,434,76,-20724.16
9378,57,44,53,-1393.1900000000005
2593,40,948,65,-15551.75
6752,63,629,21,5909.6900000000005
4362,50,683,45,-3330.75
6144,60,807,37,1642.21
9634,31,409,76,-16370.16
5693,43,126,43,-1536.5900000000001
7788,9,41,3,7770.81
9148,36,388,54,-3225.5600000000013
6569,53,567,1,6617.09
387,83,974,1,465.09
6322,46,983,80,-21422.0
8222,72,187,46,1144.4400000000005
3969,61,984,71,-16451.31
646,35,355,19,-461.51
568,73,955,32,-2123.84
7453,79,894,4,7690.44
2387,44,63,61,-13199.11
4273,47,336,46,-3954.5599999999995
8317,49,557,15,7947.25
5534,16,951,37,-595.79
2444,47,968,29,-322.3100000000004
2224,45,67,19,1306.49
4251,30,680,50,-6524.0
8308,33,495,72,-14769.440000000002
5716,43,619,4,5809.44
9364,57,637,93,-27801.590000000004
854,23,923,60,-15442.0
1036,74,685,3,1213.81
7580,58,408,47,-540.1900000000005
2807,67,270,45,-4120.75
9615,69,571,49,1207.0900000000001
4852,52,709,7,4975.41
4764,92,645,3,4995.81
1539,42,87,43,-5733.59
4430,60,878,15,4225.25
5575,43,895,6,5656.24
8981,13,540,38,2384.96
4909,43,336,21,3646.69
5171,99,157,61,-7060.110000000001
5971,84,478,73,-14062.39
7958,80,916,84,-19966.96
9987,98,980,62,-2811.040000000001
2189,79,514,8,2506.76
7394,81,233,4,7639.44
9717,57,936,55,-2000.75
4924,53,67,6,5065.24
8250,13,513,99,-38585.91
6717,59,244,73,-15141.39
7752,95,572,42,3080.76
1260,26,498,51,-10184.91
825,86,729,12,1149.96
6570,67,454,70,-12799.0
4270,27,295,66,-15335.96
4177,7,878,32,-626.8400000000001
8029,3,412,92,-33253.24
9886,77,68,73,-10658.39
9747,33,84,78,-17551.440000000002
7334,27,304,82,-23466.840000000004
9162,64,482,79,-16425.31
5772,4,982,11,5221.89
1480,58,315,57,-11166.59
6198,63,170,4,6371.44
6413,2,376,54,-7796.560000000001
8168,4,633,44,-1161.7600000000002
2584,57,672,12,2560.96
9520,7,734,30,5311.0
7853,63,754,58,-5010.240000000002
9492,43,182,78,-17026.440000000002
2729,36,917,99,-41829.91
2917,55,466,2,3007.36
4395,29,113,62,-12681.04
2079,90,738,32,-68.84000000000015
6813,53,406,26,4871.84
1260,4,989,56,-13913.76
8194,23,142,53,-4379.1900000000005
7701,95,911,82,-17523.840000000004
7816,89,985,93,-26373.590000000004
6634,36,302,38,911.96
9728,23,460,81,-20623.510000000002
8859,50,745,19,8036.49
9016,46,891,98,-33631.64
6035,56,237,33,2536.01
6677,6,797,79,-23492.31
1373,87,440,54,-8246.560000000001
5637,72,585,4,5846.44
1405,15,659,49,-9648.91
1773,42,722,81,-27039.510000000002
9937,58,938,64,-6462.360000000001
1703,28,29,30,-1876.0
9554,15,858,36,3730.6399999999994
4261,40,515,34,-54.960000000000036
6107,4,327,53,-7473.1900000000005
7535,44,809,9,7533.29
2980,49,131,31,-219.51000000000022
567,44,45,30,-2532.0
5587,3,714,54,-8568.560000000001
3807,23,635,14,3166.64
5525,31,908,78,-21929.440000000002
7411,5,597,99,-40216.91
2458,12,521,60,-14498.0
9871,3,930,40,2135.0
7884,43,930,49,-1797.9099999999999
912,14,573,52,-11636.640000000001
8062,3,527,43,-887.5900000000001
3773,1,510,84,-30787.96
4597,68,629,34,1233.04
3724,81,602,36,276.6399999999994
8633,42,447,9,8613.29
841,17,557,4,830.44
8264,87,737,30,6455.0
4066,22,259,80,-25598.0
475,56,575,86,-31023.36
4782,92,712,16,4997.04
9071,99,988,54,99.43999999999869
9990,59,75,12,9990.96
6767,65,525,91,-27977.71
7902,47,643,55,-4365.75
4236,4,843,89,-34300.11
9077,94,749,15,9382.25
182,36,20,45,-8140.75
7134,32,739,68,-13393.84
739,96,833,56,-9282.76
8693,6,50,2,8685.36
5381,29,306,57,-8918.59
1417,17,451,18,132.15999999999985
9354,42,73,80,-18710.0
2412,32,566,41,-4529.710000000001
1554,98,222,53,-7044.1900000000005
4909,72,103,66,-11726.96
3460,6,870,80,-27484.0
7179,93,144,93,-26638.590000000004
7029,92,773,27,5933.61
8438,80,218,57,-2954.59
1725,20,509,39,-4963.110000000001
5743,83,23,2,5889.36
1703,29,938,10,1502.0
5357,17,335,26,2479.8399999999997
1815,20,783,44,-6810.76
9249,16,505,16,8248.04
1411,51,800,28,-1010.44
7679,69,413,63,-7461.790000000001
2049,64,498,19,1492.49
4943,31,71,42,-2416.24
1318,31,90,70,-20571.0
8042,88,29,79,-15649.310000000001
9847,47,313,30,6838.0
5010,30,680,14,4467.64
3281,51,611,16,2840.04
314,99,402,80,-23190.0
6142,37,506,34,1724.04
5392,4,935,29,1378.6899999999996
735,17,608,86,-34117.36
3934,28,323,59,-11505.71
8740,31,931,42,1380.7600000000002
2718,99,800,85,-24341.75
9862,70,887,5,10089.25
8971,9,171,48,-1909.6399999999994
2318,9,685,14,1481.6399999999999
2159,30,189,17,1250.01
3706,40,181,15,3201.25
8556,86,965,28,7114.5599999999995
9096,50,903,5,9223.25
4003,40,630,53,-7669.1900000000005
9127,18,311,81,-21629.510000000002
3394,44,427,60,-11642.0
1838,43,87,69,-18571.510000000002
8355,45,219,7,8429.41
5841,59,306,42,-342.2399999999998
7590,87,371,41,2903.289999999999
1916,40,67,50,-8359.0
4181,3,989,35,-1728.75
5863,15,350,63,-12679.79
7638,39,313,48,-1802.6399999999994
2648,40,508,7,2687.41
4275,52,474,14,4040.64
162,17,890,79,-29138.31
6829,56,207,98,-34838.64
4474,13,979,36,-1421.3600000000006
2661,74,518,13,2793.21
18,54,895,5,165.25
6387,6,485,34,915.04
5392,51,664,76,-19092.16
7224,20,52,44,-1401.7600000000002
5899,26,807,1,5920.09
4188,78,22,62,-9850.04
1422,4,190,80,-29682.0
5933,42,716,75,-18535.75
5326,47,178,74,-18083.16
4285,20,890,4,4286.44
9047,9,503,72,-15758.440000000002
9599,61,209,89,-23864.11
144,84,619,50,-7931.0
8810,4,574,66,-12313.96
8917,80,307,65,-6627.75
1943,65,948,55,-9334.75
1118,56,122,68,-17777.84
8103,29,979,10,7902.0
1055,70,856,13,1135.21
2347,10,109,12,1759.96
5362,2,808,25,2343.25
7963,12,586,59,-8420.71
4204,49,323,54,-7467.560000000001
1768,51,361,39,-3711.1100000000006
611,52,236,73,-21758.39
9732,27,174,63,-8054.790000000001
1362,3,162,41,-6768.710000000001
6043,4,932,22,3754.56
5849,94,487,90,-25462.0
6398,82,92,54,-3491.5600000000013
1011,95,863,35,-1678.75
6945,74,83,26,5549.84
370,56,608,2,462.36
432,36,113,6,471.24
4336,17,240,89,-33043.11
4633,21,714,54,-8550.560000000001
2089,55,574,76,-22091.16
6287,87,236,83,-20316.989999999998
1325,81,421,22,730.56
1469,75,597,33,-1402.9899999999998
8182,3,125,97,-37725.19
3640,25,547,74,-21397.16
3670,43,555,92,-33932.24
2950,36,323,24,985.8400000000001
2164,14,51,71,-21593.31
9290,48,286,93,-28712.590000000004
34,40,150,99,-44128.91
6741,35,576,3,6801.81
2246,25,60,68,-18757.84
1634,94,88,59,-9911.71
2210,82,742,77,-20587.39
740,98,152,23,396.6100000000001
9252,92,310,40,5076.0
585,37,545,40,-5791.0
5106,66,892,8,5319.76
3230,40,424,23,1552.6100000000001
6553,41,109,3,6631.81
6829,72,47,89,-25655.11
5213,28,609,66,-14326.96
8208,84,913,39,4015.8899999999994
4972,38,456,80,-23412.0
6757,83,2,96,-30525.559999999998
1982,75,208,35,-1407.75
2651,99,638,22,2452.56
4999,25,323,22,3172.56
7182,80,312,44,1196.2399999999998
2033,58,661,26,221.8399999999997
1736,26,819,71,-21169.31
8683,99,817,66,-6170.959999999999
1924,10,518,70,-21435.0
3380,65,988,41,-2208.710000000001
6254,82,550,99,-33750.91
1280,27,281,13,801.2099999999999
4755,40,477,76,-20565.16
2846,52,965,23,1444.6100000000001
2666,17,107,51,-9237.91
8844,64,520,6,9051.24
1000,97,826,96,-34938.56
3398,21,500,82,-27894.840000000004
7909,84,948,88,-22722.04
7948,85,829,79,-15980.310000000001
6723,52,132,5,6860.25
403,66,121,99,-41185.91
5469,16,520,70,-17470.0
6291,76,591,84,-21969.96
9728,23,181,42,2032.7600000000002
6880,15,205,11,6450.89
7896,31,86,1,7922.09
6857,70,577,25,5538.25
8238,73,279,98,-31763.64
4550,44,960,58,-9415.240000000002
3292,33,879,73,-20464.39
5921,88,331,32,3709.16
2408,24,603,21,746.69
7425,89,567,14,7708.64
6621,38,501,30,3342.0
6277,11,268,6,6166.24
4766,62,185,52,-5286.640000000001
8054,34,470,90,-28657.0
1661,71,144,90,-31720.0
1175,26,320,47,-8449.19
5422,91,981,49,-1907.9099999999999
211,48,717,12,79.96000000000004
6521,92,258,32,4437.16
4712,21,668,48,-5592.639999999999
3299,62,112,20,2575.0
4766,57,812,95,-34131.75
2216,1,449,78,-27578.440000000002
6073,4,812,56,-9100.76
3700,8,359,12,3088.96
3497,45,385,95,-36540.75
1218,21,260,10,937.0
3581,76,321,69,-14551.510000000002
8063,41,561,15,7573.25
1959,33,915,84,-29913.96
456,64,739,69,-18504.510000000002
2223,16,101,49,-8781.91
4780,59,82,20,3996.0
8673,62,655,56,-3252.76
3745,44,691,21,2503.69
6318,88,697,86,-22428.36
9793,25,135,36,4329.639999999999
6628,44,117,90,-29183.0
7975,43,346,84,-23057.96
1613,97,232,2,1787.36
2000,73,637,50,-6625.0
9524,58,124,96,-30158.559999999998
5539,82,446,14,5724.64
9234,41,230,74,-14619.16
7847,99,489,48,1286.3600000000006
6501,38,298,98,-36930.64
5925,13,164,14,5144.64
6525,95,892,5,6877.25
2670,72,496,81,-23712.510000000002
124,14,955,37,-6079.79
9327,50,937,61,-5893.110000000001
5047,33,248,30,1618.0
4470,17,339,75,-21873.75
5266,12,899,50,-6409.0
2942,62,621,72,-18047.440000000002
797,87,96,98,-37832.64
9647,50,114,79,-17046.31
5882,40,757,29,2912.6899999999996
3292,41,898,28,590.56
3347,42,74,49,-6383.91
1092,87,660,49,-6433.91
575,15,33,86,-34449.36
857,17,373,91,-38255.71
2246,17,75,99,-44193.91
3324,84,279,98,-35599.64
5806,39,984,43,-1595.5900000000001
2781,56,855,13,2679.21
9072,91,481,66,-6309.959999999999
7108,90,85,56,-3249.76
7102,83,490,38,3165.96
5318,45,153,25,3374.25
281,89,469,78,-22649.440000000002
2360,66,17,38,-2222.04
6687,97,9,3,6933.81
7679,37,607,89,-27920.11
3034,78,975,19,2743.49
6610,81,193,40,1994.0
8494,17,854,52,-3898.6400000000012
477,58,134,36,-3798.3600000000006
4238,21,139,17,3176.01
5146,80,248,68,-12117.84
1328,46,448,1,1369.09
7515,30,100,60,-8361.0
6682,60,381,32,3574.16
9088,50,789,71,-12113.310000000001
8104,20,356,29,4554.69
4426,99,426,1,4520.09
3714,30,755,7,3683.41
150,49,34,75,-23793.75
3528,29,785,49,-6839.91
1855,19,45,92,-37955.24
1372,44,531,9,1370.29
8480,21,717,53,-4199.1900000000005
4819,54,333,22,3630.56
2382,43,666,42,-4473.24
1599,28,488,57,-12757.59
3982,50,203,64,-12929.36
5295,28,973,29,1977.6899999999996
515,6,828,36,-5632.360000000001
5837,73,277,17,5659.01
5335,54,785,22,4146.5599999999995
9603,52,679,32,6239.16
5634,46,987,80,-22110.0
1475,30,969,90,-35596.0
505,13,392,10,144.0
9914,64,952,25,8445.25
6235,72,965,83,-21613.989999999998
5117,16,794,41,-2480.710000000001
7137,26,806,4,7162.44
9801,21,899,18,8588.16
2576,47,447,63,-13950.79
5164,65,714,5,5366.25
5338,37,777,79,-22382.31
1534,88,233,13,1848.21
8348,74,561,17,8187.01
9267,91,87,37,5912.21
5065,78,47,35,1780.25
553,36,807,63,-16666.79
4271,44,47,68,-15440.84
8860,99,994,80,-14644.0
5282,77,898,95,-31715.75
2717,93,459,85,-24852.75
903,81,665,74,-19990.16
8341,63,798,24,7024.84
6502,50,373,59,-7639.709999999999
8398,18,965,80,-21586.0
6771,52,798,34,2863.04
8580,74,776,60,-4656.0
8928,88,403,84,-18324.96
447,85,615,71,-18269.31
323,47,648,16,-181.96000000000004
2429,14,606,70,-20650.0
5175,94,883,37,1931.21
547,39,705,62,-15909.04
5632,17,570,18,4347.16
2944,38,304,11,2767.89
5382,37,803,89,-30217.11
7474,93,522,97,-29703.190000000002
1090,75,314,12,1282.96
4236,77,999,75,-17607.75
3533,80,358,9,3855.29
3473,33,227,69,-17626.510000000002
6629,13,316,78,-22229.440000000002
7101,6,53,82,-25421.840000000004
8718,96,450,84,-17862.96
3190,83,246,81,-22301.510000000002
1699,86,291,31,-353.5100000000002
1636,81,642,59,-10676.71
6301,78,678,82,-20317.840000000004
3163,28,143,32,-968.8400000000001
9671,94,788,51,1694.0900000000001
9111,64,201,19,8554.49
241,93,694,33,-2036.9899999999998
7936,1,698,75,-19607.75
1353,50,74,63,-14984.79
5376,75,435,10,5635.0
7234,77,493,22,6551.5599999999995
7477,72,154,36,3705.6399999999994
2956,13,29,44,-5977.76
4249,78,724,73,-16222.39
8635,5,418,1,8635.09
7898,60,981,42,1756.7600000000002
7635,32,391,40,1059.0
5254,91,388,55,-4593.75
6581,31,621,53,-5568.1900000000005
2686,8,412,50,-9189.0
6180,98,604,69,-10434.510000000002
76,48,904,33,-3686.99
1831,63,347,68,-16588.84
5521,65,874,68,-12762.84
2165,12,76,4,2134.44
1998,76,402,65,-13806.75
3466,80,767,99,-36736.91
955,25,704,40,-5901.0
4050,66,135,27,2252.6099999999997
9453,51,56,9,9514.29
9095,38,422,98,-34336.64
7523,83,790,42,2347.76
7425,37,85,56,-5900.76
2984,28,21,57,-11372.59
5130,89,62,94,-29888.760000000002
6337,96,922,35,3682.25
93,41,983,90,-35988.0
4682,95,613,84,-21982.96
630,25,288,73,-23710.39
3676,7,153,86,-32036.36
6981,69,917,6,7218.24
1692,1,318,78,-28102.440000000002
2552,93,210,45,-3205.75
1044,72,131,42,-4593.24
7287,40,89,58,-6910.240000000002
2030,59,435,83,-26897.989999999998
6767,46,914,58,-7082.240000000002
7469,20,707,76,-19371.16
6078,45,749,61,-9447.11
8084,95,21,76,-13056.16
9175,73,202,74,-12310.16
2129,84,497,14,2342.64
9816,34,371,43,2199.41
4071,15,400,39,-2812.1100000000006
8773,72,726,29,6731.69
5787,7,939,94,-36939.76
389,20,358,28,-2900.44
5951,93,882,45,193.25
1350,22,428,86,-33072.36
8759,38,348,55,-4003.75
1081,37,146,54,-11238.560000000001
3773,92,346,10,4202.0
7868,4,933,69,-15232.510000000002
5187,35,871,22,3580.56
595,22,829,74,-24664.16
8745,4,754,10,8294.0
8036,55,904,62,-7428.040000000001
1851,14,562,82,-30015.840000000004
1833,20,622,72,-22180.440000000002
7450,13,345,1,7458.09
3900,1,518,88,-34035.04
5252,84,693,81,-20158.510000000002
2058,75,797,56,-9139.76
322,73,589,43,-5617.59
8957,69,886,17,8711.01
234,20,780,62,-17400.04
1558,22,706,93,-38862.590000000004
7146,36,418,50,-3329.0
9627,30,147,60,-6249.0
1695,90,147,82,-23939.840000000004
1316,40,414,69,-19300.510000000002
6106,27,878,36,714.6399999999994
5620,83,402,84,-22052.96
9393,89,13,46,3097.4400000000005
5518,23,285,25,3024.25
9432,1,27,57,-6463.59
467,93,612,71,-17681.31
7377,42,542,84,-23739.96
1547,54,875,73,-20676.39
38,88,101,48,-7050.639999999999
9946,97,440,73,-9138.39
6619,57,615,25,4975.25
9767,21,792,68,-11508.84
2006,87,294,96,-34892.56
2399,42,463,99,-41565.91
4099,39,760,81,-24956.510000000002
2671,95,103,23,2258.61
5410,84,345,95,-30922.75
7735,35,245,88,-27208.04
5575,75,594,82,-21289.840000000004
3289,96,112,12,3733.96
1522,54,959,17,1021.01
2785,59,181,59,-10825.71
1550,95,859,73,-17680.39
7530,72,134,14,7575.64
6868,64,801,57,-5436.59
1946,92,626,88,-27981.04
7833,81,342,93,-27100.590000000004
3156,81,781,89,-28527.11
7470,55,264,64,-9121.36
7597,92,56,12,7993.96
6834,31,899,70,-15055.0
4444,82,333,20,4120.0
4249,23,770,38,-1967.04
3494,64,699,87,-28101.79
9611,40,80,49,-217.90999999999985
8838,11,324,5,8770.25
5196,89,252,77,-17062.39
4267,97,607,33,2121.01
1637,78,304,48,-5931.639999999999
4443,59,135,99,-37838.91
6104,41,389,31,2656.49
634,58,591,74,-21961.16
5482,62,62,66,-11813.96
206,56,594,72,-21215.440000000002
1968,77,88,80,-23296.0
944,50,601,17,375.01
1587,72,939,1,1654.09
9283,40,406,35,4668.25
854,35,638,59,-14172.71
7068,86,292,7,7429.41
9019,82,67,46,2401.4400000000005
2269,45,15,38,-3111.04
7299,36,474,8,7272.76
2772,40,285,82,-26962.840000000004
6170,98,334,1,6263.09
7616,13,606,54,-5999.560000000001
4908,39,824,12,4668.96
8906,93,117,89,-21709.11
7022,98,420,13,7466.21
7943,84,789,46,1417.4400000000005
2149,1,195,79,-28415.31
8321,50,335,92,-28637.239999999998
5677,35,851,63,-11605.79
8623,88,371,49,1146.0900000000001
3773,40,158,75,-20845.75
9990,2,908,10,9519.0
9130,81,733,51,490.09000000000015
6194,46,31,47,-2490.1900000000005
249,48,921,59,-14010.71
1299,52,992,94,-37197.76
935,19,412,3,947.81
777,59,114,20,-7.0
8913,1,904,34,3271.04
9047,56,959,36,4699.639999999999
3648,15,61,38,-2872.04
4806,20,253,46,-4663.5599999999995
1724,5,902,18,223.15999999999985
330,48,975,29,-2407.3100000000004
8141,46,456,30,5102.0
3834,9,656,4,3791.44
